Time [ms], Elem0, Elem1, Elem2, Elem3, Elem4, Elem5, Elem6, Elem7, Elem8, Elem9, Elem10, Elem11
11811, 3, 0, -516, 1, 0, 0, 0, 0, 0, 0, 0, 0
11835, 4, 0, -477, 1, 0, 1, 0, 0, 0, 0, 0, 0
11859, 4, 0, -416, 1, 0, 1, 0, 0, 0, 0, 0, 0
11883, 2, 0, -352, 0, -1, 1, 0, 0, 0, 0, 0, 0
11906, 2, 0, -279, 1, 0, 1, 0, 0, 0, 0, 0, 0
11930, 4, 0, -216, 1, -1, 0, 0, 0, 0, 0, 0, 0
11954, 3, 0, -148, 1, 0, 0, 0, 0, 0, 0, 0, 0
11979, 4, 0, -100, 1, 0, 0, 0, 0, 0, 0, 0, 0
12001, 6, 0, -60, 1, 0, 2, 0, 0, 0, 0, 0, 0
12025, 4, 0, -34, 1, -1, 0, 0, 0, 0, 0, 0, 0
12049, 4, 0, -15, 1, 0, 1, 0, 0, 0, 0, 0, 0
12073, 5, 0, -5, 1, 0, -1, 0, 0, 0, 0, 0, 0
12096, 4, 0, -5, 1, 0, 1, 0, 0, 0, 0, 0, 0
12120, 5, 0, -15, 1, -1, 0, 0, 0, 0, 0, 0, 0
12145, 2, 0, -38, 1, 0, 1, 0, 0, 0, 0, 0, 0
12169, 5, 0, -76, 1, 0, 0, 0, 0, 0, 0, 0, 0
12195, 7, 0, -138, 1, 0, 2, 0, 0, 0, 0, 0, 0
12216, 6, 0, -202, 1, 0, 0, 0, 0, 0, 0, 0, 0
12241, 7, 0, -262, 1, 0, 1, 0, 0, 0, 0, 0, 0
12264, 7, 0, -318, 1, 0, 2, 0, 0, 0, 0, 0, 0
12288, 5, 0, -364, 0, -1, 1, 0, 0, 0, 0, 0, 0
12311, 3, 0, -415, 1, 0, 1, 0, 0, 0, 0, 0, 0
12335, 2, 0, -456, 1, -1, 0, 0, 0, 0, 0, 0, 0
12359, 5, 0, -486, 1, 0, 1, 0, 0, 0, 0, 0, 0
12383, 5, 0, -502, 1, -1, 1, 0, 0, 0, 0, 0, 0
12406, 5, 0, -519, 1, 0, 1, 0, 0, 0, 0, 0, 0
12430, 5, 0, -521, 1, 0, 1, 0, 0, 0, 0, 0, 0
12454, 5, 0, -521, 1, 0, 1, 0, 0, 0, 0, 0, 0
12478, 4, 0, -519, 1, 0, 1, 0, 0, 0, 0, 0, 0
